编号ID,用电行业,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306
9070193615X,教育业,32368.0,11033.5,24240.5,19264.0,27067.5,37000.0,41242.0,36206.0,27144.5,21311.0,30763.0,40465.0,21540.5,16254.5,28126.0,38863.5,21955.0,24233.5,29588.5,28085.0,23037.0,19821.5,24667.5,30476.5,33664.5,25223.0,25637.0,17911.0,21431.0,26634.0
9070193716X,教育业,16912.15,5099.9,8476.6,7891.55,10684.75,10865.45,12260.8,11967.05,10534.15,7013.75,12389.95,19486.4,11093.05,9267.65,13277.65,9110.0,12859.6,12801.05,15695.35,13812.35,11489.05,19503.2,13901.8,16184.15,13613.5,120.35,3661.45,1107.2,2183.5,1200.2
9070097519X,教育业,9787.0,3084.2,7049.5,5979.5,7480.6,8102.0,9044.5,7773.5,14039.4,5780.3,8449.9,9650.3,6538.9,5982.2,8984.2,6241.1,7232.8,7275.8,9577.3,7819.7,6444.1,5536.4,10039.9,12989.6,15400.0,7249.4,5846.8,3983.3,4877.2,4805.6
9070001396X,教育业,50340.4,21189.8,19862.5,15824.6,14024.2,18382.7,18401.2,19712.6,15606.4,13114.7,22671.7,25770.2,20836.3,12633.5,16531.6,12845.9,18640.9,21920.0,24928.0,23114.0,16299.7,15522.8,25503.1,31519.4,41034.1,28385.3,30186.4,22013.0,27431.8,36815.9
9070000995X,教育业,41042.0,18113.0,18090.5,14991.5,14742.5,16019.5,16500.5,16868.0,,13480.7,21937.6,43257.8,32835.4,14208.8,22117.6,13082.0,17302.6,23636.0,28123.0,28186.4,19382.8,21897.8,35271.4,51678.8,54080.2,39678.8,37289.8,23679.2,30920.8,44693.0
9070007134X,教育业,19444.0,6166.8,4878.8,2834.0,4203.2,5260.0,7266.4,6851.2,5109.2,3335.6,9758.4,18828.8,6038.8,9430.0,8487.6,3292.0,4850.4,7887.6,9272.8,7881.2,5586.8,4275.6,11394.4,18080.4,21740.4,14127.6,10375.6,3721.2,3899.2,4072.4
9070008890X,教育业,41253.1,9479.6,32824.9,44473.4,47656.9,44995.4,45927.7,85986.56,29996.0,23347.6,34460.0,75048.8,35283.2,12506.4,29600.4,25335.2,28970.4,31880.0,34742.0,26173.2,23884.8,32211.2,43784.8,70900.0,46404.8,31352.0,37345.2,24342.0,26274.4,29168.4
9070039089X,教育业,29810.5,18545.9,23278.0,24092.3,30703.3,59826.38,30796.9,33656.3,35311.0,29432.3,33781.0,,31366.0,23834.3,35660.8,29521.1,34534.3,36185.9,34900.3,34506.5,31737.4,27518.0,25314.4,26057.3,25363.3,19572.5,29363.5,27146.3,30516.7,32884.7
9070031687X,教育业,66340.6,34553.0,62618.8,56077.4,65842.6,70119.2,77041.0,78065.6,78872.2,58536.2,65447.8,99618.8,58703.8,46977.8,81149.8,65889.2,72767.2,83601.8,83321.8,78248.6,73255.6,61141.4,65707.6,85438.4,87907.6,61538.6,72274.0,55476.8,64069.6,79068.2
