企业,日期,2021月用电量
4d7d7e65d38c405d1d8a,202103,21429.33323
ac757c17538580912f10,202103,95181.38726
ac757c17538580912f10,202104,85638.88133
ac757c17538580912f10,202105,73368.1279
ac757c17538580912f10,202106,111745.2185
4d7d7e65d38c405d1d8a,202104,22415.439
ac757c17538580912f10,202107,116328.479
4d7d7e65d38c405d1d8a,202105,16991.83194
ac757c17538580912f10,202108,120785.3513
4d7d7e65d38c405d1d8a,202106,20496.241
4d7d7e65d38c405d1d8a,202107,21275.91516
4d7d7e65d38c405d1d8a,202108,25149.72129
fcb27eb9424321885027,202103,1860.394194
fcb27eb9424321885027,202104,1735.42
40584c00f3b0aae16803,202105,3830.421613
fcb27eb9424321885027,202105,1706.976129
40584c00f3b0aae16803,202106,30.0
fcb27eb9424321885027,202106,1953.201333
40584c00f3b0aae16803,202107,3000.569355
1954f487b3ebf16eeed1,202103,556529.4594
40584c00f3b0aae16803,202108,1243.235161
79bb23fda9b10f61e8a5,202103,779.804129
3340e0ef495c153a6017,202103,20433.66548
1954f487b3ebf16eeed1,202104,571590.704
79bb23fda9b10f61e8a5,202104,729.7826667
3340e0ef495c153a6017,202104,16287.77687
1954f487b3ebf16eeed1,202105,524158.2477
79bb23fda9b10f61e8a5,202105,676.1694516
3340e0ef495c153a6017,202105,18339.27645
1954f487b3ebf16eeed1,202106,512986.708
79bb23fda9b10f61e8a5,202106,573.8128
1954f487b3ebf16eeed1,202107,541238.7923
3340e0ef495c153a6017,202106,15740.96157
79bb23fda9b10f61e8a5,202107,636.8463871
1954f487b3ebf16eeed1,202108,500225.0297
3340e0ef495c153a6017,202107,15642.10165
3340e0ef495c153a6017,202108,13202.05706
def0b61799049c6a30f9,202103,185.9677419
def0b61799049c6a30f9,202104,170.9173333
def0b61799049c6a30f9,202105,155.4003548
d03ad41eec46f3f39515,202103,785.847871
053c7e9641b99c416895,202103,30641.39065
d03ad41eec46f3f39515,202104,577.2957
053c7e9641b99c416895,202104,30279.587
d03ad41eec46f3f39515,202105,513.8407419
053c7e9641b99c416895,202105,36150.49387
fcb27eb9424321885027,202107,1427.646774
d03ad41eec46f3f39515,202106,519.7277667
fcb27eb9424321885027,202108,1917.732258
d03ad41eec46f3f39515,202107,504.194
fc55a673a0391d645765,202108,149.2403871
87ec2f32403eb4aa4378,202103,640.1007097
87ec2f32403eb4aa4378,202104,675.1772
