企业,同比下降最大天数,环比下降最大天数
000ba545a46006f22241,0,3
00120afd3619fa99fb09,1,4
001857d32a6960b4f6ec,0,1
004b71f92cd6f18c8287,1,4
0066c5a5ecdbde6bb163,96,1
0118851f7606a5d74970,0,4
01398531842c46683a62,1,2
015dedf3045a5ec06182,0,2
01a1128cad75dbf5f831,0,2
02264f7571bc92f74e69,0,1
028ab31bdb9b0c237949,157,1
03113b33e2390de0dab3,1,3
0329ec5513bb5759459b,0,2
037f19a31ddcdffc39bb,0,3
03f6d801f0090a2cb0ea,0,3
04411c268bb28269f2f3,0,4
04c536e1d3c19ac532cf,1,2
04ebc85225169e8644e0,0,3
04f1309c5a592dbd35aa,0,2
053c7e9641b99c416895,0,3
056e777949bbd14bddc9,0,2
057e6fb165d5eb2a86e0,0,3
06e46fcd2292da2404cd,0,3
06e4f067ae98fd630033,0,2
075133f55ba75b3bd96d,0,2
079a586417b8261a5d62,0,4
08402bdf0fe5d81c37f3,103,3
08592154aa84c3156333,32,4
089b0bbfe39bab170fdd,0,3
089d2de083721cd5d544,0,3
08a1b842ccafeb0c5163,0,4
08e868cdbfd5397841d7,0,3
0984566821449ba8a5a3,2,3
0992f6e7c4a39373a738,0,1
09aaefe1d540922549e6,0,4
09d2bb9fafce578b54f6,1,2
09d94668ac2fe96b2fa3,0,3
0a4f19ffd44a37173b6b,0,2
0a73fb2c10c68923e4d6,0,6
0aeab412149f8ebecaba,0,2
0b6de06ecffb17d20cc8,1,4
0bb5dc8f78913b57cacc,0,1
0bc19ad9f9cdda34c045,0,2
0bd0446973ecc232fdd5,1,4
0c1af72ae1a887f0531a,2,6
0c45aef6846c20fa2f09,0,4
0d0ded3f87369323aca5,0,6
0d48975ae45ccdca20d3,0,3
0e33196951bcf555b9c9,0,3
0e95a4fa43b20b27308d,1,5
0f2ffb6b902275b720a4,0,4
0f50fe9e0a78e17f9211,0,2
0f5ccdf0f1400c9e2afb,0,4
0f5f317bd764e824e0d1,0,3
0fbbceedcaf870990129,0,3
10617e7154ecd35ef65b,0,3
10ad83a4e1b415dfa479,0,4
10dcbbe65847efa04006,0,4
116c80fb4f2cb3285db1,1,1
118fac66e1dd31e31f5c,0,2
11af74969b468f4cd239,0,3
1210f1faf5f395902942,0,5
12180839958316eb5989,0,1
122b827ba0d2cc0da5da,0,3
124b19db0919f58175c5,12,4
127b51c0815a4a781478,3,4
127d77f943d33411f41f,0,0
128779f0b1ac7d81c00e,0,1
12a93caeadf800c5b1ed,84,3
12dd96318e02e875d50a,0,2
12f6b397ee65ec86f5fd,0,4
1348debcf695e4e7e840,1,3
13dc1cc0f33bee412f3e,0,3
13fd8c7ed97edad10da2,0,3
14248b90ff560273b0aa,1,4
150b58dc0efe9d5179a3,0,3
15f508085e04ab83b59d,0,2
16a1ee0a1955cd25f2b2,1,7
16a707f84935a215c94f,0,5
17c25051ccd600f6dcbc,0,2
183a9c26ea4c72897465,0,4
187de7586597dd1e4174,3,4
18c4568191a002f637a6,0,2
18fe9bb8cbc207f16a1a,0,4
19344961b653cee5756c,0,2
1954f487b3ebf16eeed1,0,1
199e6a3dfedb2aa0b480,0,3
19f0abc2ecb431925fbe,4,6
1a8e9663e1e668cc8093,1,2
1b7737263e7d0dcc9347,0,3
1b9a8743f1fe78543706,0,3
1bea355178201fe68c71,1,4
1c403fa85ffc62ae6253,37,4
1e2412db490cc62e3093,0,3
1ed7d6f6b36e4c073411,0,4
1f66a6b5c296db2ec20f,0,3
1f798415b665f6775e9b,0,4
1f7a1838769732254eca,0,2
1fb8433c0b4f9c9ced4e,0,3
2028ae2bdbb7cc69166b,0,3
204f4dab235c70670f53,2,3
205e821241cea16a7ef3,1,2
21a1f061c490a7e45498,0,2
21b79e87e46c2ff982ad,0,3
22338fba96f1f3c31745,0,4
224ec148fd3ed8ae26f4,2,7
22511a8de59e0fd12dc0,0,4
2298dbdace382612a6ab,0,3
22ce8f56baa53eb51d77,1,5
22e311a0b2a88b8dbd2d,0,1
231d4630caf8c40667d6,0,2
231f73a1729c9190f321,0,2
2330306a549dcabaa9d3,0,2
235dfc087eab5d513bdb,5,2
23a5267e8f2af1e7307c,0,3
245f5800336dc1894909,0,3
246b302e09798129fd38,7,4
24cb15a8eb53013866c7,1,2
24fde980541328350aa2,0,3
263113d06621938cd5e1,1,4
265cb59c9cdedc33a443,0,4
265d2f42ae52aae95c59,0,2
269b0c45f11bb3641ec8,0,3
279b3d409bf542b98e1b,0,4
281a5b959f4e04cb2bfc,12,3
285f59a9d4d86df49887,0,2
28642af3b393f73a536d,0,2
294b3b49f24b473b2b9d,0,5
298a553e990422963532,0,4
298c2180d12c781d90c4,1,2
2a64dc274d6522a7e57a,0,3
2a6e9ee975c7b69f4844,97,4
2a716b3af7f64c046510,0,2
2af24f58872bc0bb7cc4,0,1
2b92e7692f3703eda1d7,0,2
2bf41eb8acb62cf813b1,0,5
2c2af45a202f7702c2a7,0,3
2c6111ee82ae24e5c935,2,4
2ce7c946a3ff4ee09793,1,2
2ced806e9ff647347ce6,0,2
2d217303deac264cfa4e,0,2
2d393b5b17047b79a0c9,0,4
2d4f3d71fc85bb95793e,0,3
2d62883ed043715b1294,0,3
2d8215170d474eee1a42,0,4
2daace50f4260ec0568f,0,4
2e0b632ebe1c23fb0acf,1,4
2e1616a2610238810db5,0,4
2e2012803dae0fdfd235,0,4
2e6581331f17f11167c3,0,2
2e9c7bfacf9408b53a92,0,4
2efe44d51c0c1e1596ec,0,3
2f0b61d4b2eea5242a0b,1,3
307c793662a9c41681f3,0,2
316ae14bcf195894908f,0,1
3179559f02b29dfc1f3c,0,5
31b53484e57bd0d5e738,0,2
32a84d00ac35c24b4d8b,0,2
32e4e98bb8d775e87571,1,4
3340e0ef495c153a6017,0,3
33c273d40c715ec317ab,0,4
33cbe0dfc91274811a97,1,5
34257cb852c90ff6c6cb,0,2
344a0fdee098ff0bef46,29,2
3473fea610c493754042,2,6
3483fdd4908dab299e4d,0,3
348d3e48d0a41abe1b94,0,3
351a4dc1d694732711d6,0,2
353d982572eece30b690,2,1
361bd868c4afe474b75c,0,3
375d66f078e1ed2aa12c,0,3
389db9e74f51ae7b9a8d,0,2
38a549592e9efb8cb321,0,6
39c354c29739e9b82c7d,0,2
39e9596971cc8c617e7b,0,4
3a880b114bf4bd675b04,0,3
3b0c88ed86d8902fcd4a,1,2
3bb3b448009256bbd67b,1,2
3bbd4c4677c4048efc11,1,2
3c44f290b9f1cc8aaae6,0,2
3c6b3d536a64778ffd78,0,4
3c84a3efe9dd2840925a,0,3
3c8647bb8103d8430826,0,4
3c96fb1ab02704f8b538,0,5
3cdf47dc823923d0b411,0,2
3d0a82c82cc4dc9ab0c2,0,3
3d0cf72dfc39f67dcb2a,0,2
3d198cf85ead2fdfaae9,0,3
3d1fa4e0e27b72a502f8,0,4
3d237097508a51dee48a,0,4
3d48f2771d28bb194a9c,0,3
3d7afea68e2d197961c1,0,1
3e3680eac8f1a521dbdc,0,4
3e44508f9ca40ac39583,0,3
3eaba9e448d795bdb27e,0,2
3efddc46ba22b5d316ba,0,4
3f5e814858a91eb4ab61,0,3
3facdd028dc5672c166b,0,4
3fe7ef75bcd879d97267,0,3
4022d6fd5f124e2137cb,0,4
40584c00f3b0aae16803,57,3
408fb276da43b61121b7,0,4
40a623e691077618cfb6,0,3
421ad7319481ee322ef9,0,3
421e8c19b5a9d674fff7,0,5
42641e0f0693ccab1186,0,2
42c870cb7ac1c3773f38,2,4
43043ada49d87503310d,1,4
4318dcfcfad96447c6e0,0,1
436ada3845c7a4d3221c,0,5
43b9f7f9e074d077cf96,0,3
440518b4722ff193b21d,103,1
449f6f6644db72a8091c,19,2
44f2698b3774608ed395,0,3
44f92a07df4b54b07442,0,2
451d862b05b3efd483f7,0,4
455ad9bd785046ae009b,4,5
456ec74996992bd3c2d3,0,3
466b19ea57c0c89b3d63,5,2
46cdfd7d23a1d58b517d,0,4
4763dfcbdc3b0259e458,2,2
4781a27280e630871614,0,2
47b30a93b3fe3c6916ab,0,3
47cd0bc6193ee00e97be,2,3
481a15fc62f2695decc6,0,2
4822db38875d9774a9ff,1,3
488ec6d9a00c2840ace7,0,3
48ac0e31f82f543d592f,1,3
4916292b4a399a97ae60,0,2
49b1fb2e3cab94146a30,0,3
49cb68f237023076d25d,12,6
4a66a6ff031e1424c8e8,0,2
4a851214fc750a3826bc,0,2
4ab17cea6b9ec8c625fd,0,3
4af5125d8bdadd077a08,0,5
4b2c61d7ce11ad72e2bd,0,3
4b65a9f634aa37db68a2,0,1
4b7fd573a6a2d15a37ab,0,3
4be6ed852680a0dc1e59,0,4
4c1c8cfacc9018e490c2,0,2
4ca0e2c9a953a574256b,0,3
4cf1f3d5950a02fa81d8,0,1
4d29f8fa8fd29540bbfd,0,3
4d390042fd385a87752d,0,2
4d3f99d1efcce85672bf,0,4
4d7d7e65d38c405d1d8a,0,2
4f709435552829d44dfe,0,2
500072de4be0b3787a4a,0,2
5024d634246157b7fc83,0,3
509aca479d0f206dc94e,0,5
50e6938486386e9a4b6d,0,2
50fb2e15c9edbd36b9e2,2,5
5112c60281153f712032,0,1
5149d5d10d7534407122,0,3
519e626e3f46d561170d,2,2
5273ca595a5c546ae2bc,0,4
52966af460ed226f380c,20,4
52f8b42e19f452036766,1,4
530c141ee115463df927,0,4
53a629b52d3dd26afc51,1,3
5409a5945bde355b88cd,0,3
550742dbad73c84edec6,0,3
551819dc94a800ba4416,0,4
552241ae9cc16929fa3a,0,4
5528f7c5e010e7b86c49,0,2
5585bf99127565d5af31,0,3
558df7defbb5a1e6892f,0,3
559410899793d19c3588,0,5
5604bbf0f081e4b639da,0,3
566fec7e763460707a07,0,4
56fb6d4eced91d0d056b,0,3
5734f7f8445a1b298028,3,6
577bf5054e5f382e7487,0,2
5884278d7758ea0c49ff,0,2
58bfe4d74b4792ba9f41,0,3
58cfcaf905c2b54668ca,3,3
58da3de6c4f82c2d1778,0,3
598dc22e75d85911d2d0,1,2
59c44a05119051c941b2,1,4
5acaa2d5256a97dc4c76,0,3
5afee4db871c8b8f796b,4,4
5b8593c6063246551559,0,2
5cc8016418fbee7eb205,0,5
5d092936d239cfeea915,1,4
5d1659d3448e79f2075d,0,2
5d60788ea008cd4052b2,0,3
5d638b3fb72c2f53bb2b,0,4
5d839fc2e899fed19712,0,2
5d9b9db32c301a4c821e,2,3
5ddc4384ace46114060d,0,3
5e7ef204489d302c995c,4,10
5e94ab8e15b53f98fc45,0,3
5ea308708129a0612286,11,4
602cbfaf9bf6d96adb54,1,2
607a8f244f7cf6ddd155,0,4
60a6a2e494c405137ff8,0,3
61c291727d1e4e7ca2e9,0,3
6286d95fa54c5e4322f4,0,5
6301de4bec058e8e3e7f,1,3
6377484aeec6e5c2fa3d,0,6
63825888162f8c04623a,0,3
6483f1a7a52dd8836b07,1,5
649a5371298c6d835b42,1,3
65f3aa6e85a88927e340,7,4
65fc666c26f9858efcbe,0,3
66a850d5287bfb43bc0b,1,3
6799cec15be565ce3cd8,0,3
67cde689c05465340aef,2,4
67d2d60bf059c5f049bf,0,3
68165c7dbbe7b2443246,0,3
688429b4f0a773d53207,0,2
68cc1c388cd97c4bc048,0,4
692ee1d6a67336758f4d,0,3
699d3dcc4bb283b2cba4,0,4
69ceeb41472aa601ae34,0,5
6a3de183aaf1bd802435,0,5
6a49f5bbe3bc36a71b5c,0,4
6a960ee7b66576865020,0,3
6ac27bbe89fd33e66e11,0,3
6b108f360dc39caafe85,0,3
6b2577cd97556e1c7c47,0,1
6b33b7cdfa767e766b28,0,3
6b72990dc28e77cf3aed,0,3
6c00f373841d9700ac9c,1,1
6c169fa357975ca5aca3,0,3
6c75ba45fabb0fb02f8e,1,3
6c8e68ae42bba8a3e605,2,3
6e53ba15000cbc0fa518,0,3
6e978095917424e9ac5c,0,1
6edc1516c5e5a592ae31,0,2
6efc4299f5e84b5d67c0,0,1
6f493a5870a53875e9b2,0,2
6f8b1e61a93610dee0d0,1,3
7008191093b580eea588,0,3
70166b21d04f3151d24d,1,3
7019d703735c94b3554d,0,5
7023190ce1fcb76e51ee,1,2
705497e3102f8cbe8ea2,0,3
7054e608191e4cef0691,0,3
7055bd97b1cc783acdaa,0,2
718cd64f0b5c0a1e7ba2,0,2
71ce10960250ae0122a1,0,3
71ffb8a8a8af533f9770,0,2
72f1a7a93076f53c2d1b,0,3
735096aae886b880c75f,0,4
73bb7d2b145bbebef559,0,3
73e98e612b0944ce90bf,0,2
7428db2df24c9dfcf6df,0,3
74855b0e86f4f8c56688,35,3
749f8381fde151b2df2f,0,2
75323f52a9ad9586ce7e,0,3
755a77c7a3939185c545,0,2
7592f6dbc2f9cf919b89,2,2
75a58359d9977cf9a425,0,3
7666d5eb7237ddb78813,0,3
76a6be14eadc2ea604a8,0,3
771bd4e7d9184b8d09c4,0,3
771cfff6334f0e86706f,0,3
772bc50c2254b42e748d,0,2
77561176483571e41c62,0,3
77b8b00439a6c8c44ca1,0,1
77d6b8f7c1f11a7e076b,0,2
77edd4a6a9ef50e4467c,0,4
793f7a5b960f9ea0a8f7,1,3
795bfc7169c3839287d0,0,5
796f02a98fae9c976d29,0,2
79bb23fda9b10f61e8a5,0,1
7a51e30838f10e1068ee,0,4
7a5f0844cc2f2fcee197,1,4
7aa4cd3343f13a5662e5,0,2
7b2edbc0f5914c39c8ba,0,2
7b94aff0ae49e9227edd,0,3
7c37a52e299312969673,2,3
7c76a27e533a2efbcf3a,0,2
7d179eb135fdba25b80f,0,3
7d4add74b506dc9c7789,0,3
7db06a9bd94d6df272e0,0,3
7db1a6a5cd2557291a23,0,2
7dd5c3fbc19cdf5b09cf,0,3
7f128492dbb7b785d677,0,3
7fd2a7132d878d666683,0,2
7feea57bae3934f57282,0,4
80c7acfd9b75c6f8ee7b,0,5
80d93db5a553bfe0bc5f,0,3
81257699740683c1ec2f,0,2
8188226d90068704a5bd,0,4
819da4d2c97761975ede,0,2
823f3aa800bf57f3509d,0,4
826601fe5c8413ad1007,1,2
82a571895d8969e34518,0,3
82ac0cfad93357a9207c,0,4
8316cfb6e82ca73a7178,0,1
832892ed1880712ebfe1,0,2
836b4bea6f93c05ae49e,0,2
84b74e5c1b99bd27f989,0,3
84c4473f9f6b839c9b31,0,1
85401ee6b5c0417f7e48,0,2
859371fd7fb56f9d7123,0,5
8656831e8813e8b9666d,0,4
8699742d7d1e523456d1,0,5
86b4ae81692ae7ec33c4,0,3
875ec37e76cb9f95d13e,0,4
87e4cc19eeb7bf42c07c,0,2
87ec2f32403eb4aa4378,0,2
8806a1316d60d8aa735c,0,2
887ff0968f24302b9331,0,2
88895d136c0bf2b75628,0,3
88cd9485682fb1b3344a,0,4
88e97c0aa8ed2b9095dc,0,2
88e981b88dc9a745c089,0,4
890811e20da3099a5c91,1,3
8a019e98b2cd3eda2522,21,2
8a77e957fd90eb1eac2e,2,3
8a821b4bc38727add33b,1,3
8ac3f48fed377d76c465,0,3
8b04b1c6c2cbae0b3b34,2,4
8b51d4908c3f01702975,0,2
8c4c0d0e05e289b8b81f,0,2
8ca2c26e82b8dcecb01c,1,1
8ce2bc19b5332db54b58,0,3
8d022a5c235504eabb9c,2,2
8d27cb547f6bf141f449,0,2
8d62e69004a328941fee,0,2
8dc1ef3f1249716dcf6d,0,3
8e106a3fb2c6c7b4c9f4,0,2
8e7c612e0475f2171b89,0,3
8eaed3b86542fae205c3,0,5
8f7d3101da6f40b3dd86,0,2
90067db4fb1b126a8a8c,0,1
903d7931ee459b09dc85,0,3
90afb3d9bdfedc7e0f00,0,3
90d8c9e448665ba8ab38,0,3
912bbf98e4603f179d0d,0,2
927b8601b0d4533bfba3,1,4
9295ab38922e446c5611,0,3
92cacc04f53caf3175cb,0,4
94856afce6cd98bb9dd5,0,4
94ac043cfede94a02eb8,0,3
953b55a3ea1d65aefe78,0,3
957e0df54a492c95d815,1,3
95cea7910e912ae241f0,0,3
969305f3829d155a6467,0,2
96ecb57aa52814ab7671,0,3
