日期,最大时刻,最大值
2021-01-01,14:00:00,30
2021-01-02,15:00:00,44
2021-01-03,10:00:00,12
2021-01-04,11:00:00,7285
2021-01-05,17:00:00,15
2021-01-06,12:00:00,25
2021-01-07,10:00:00,6240
2021-01-08,12:00:00,5958
2021-01-09,11:00:00,5639
2021-01-10,12:00:00,5420
2021-01-11,11:00:00,5067
2021-01-12,11:00:00,9391
2021-01-13,11:00:00,8578
2021-01-14,11:00:00,6445
2021-01-15,10:00:00,6457
2021-01-16,10:00:00,5519
2021-01-17,13:00:00,86
2021-01-18,11:00:00,5284
2021-01-19,10:00:00,6379
2021-01-20,11:00:00,3018
2021-01-21,11:00:00,3351
2021-01-22,11:00:00,2906
2021-01-23,11:00:00,4426
2021-01-24,10:00:00,6931
2021-01-25,11:00:00,6559
2021-01-26,11:00:00,7959
2021-01-27,10:00:00,6810
2021-01-28,10:00:00,8208
2021-01-29,10:00:00,5160
2021-01-30,12:00:00,3762
2021-01-31,11:00:00,6945
2021-02-01,12:00:00,6280
2021-02-02,11:00:00,8443
2021-02-03,10:00:00,5142
2021-02-04,07:00:00,80
2021-02-05,11:00:00,2375
2021-02-06,13:00:00,47
2021-02-07,11:00:00,4662
2021-02-08,10:00:00,8209
2021-02-09,11:00:00,9832
2021-02-10,11:00:00,10011
2021-02-11,11:00:00,27
2021-02-12,11:00:00,8652
2021-02-13,11:00:00,7429
2021-02-14,00:00:00,0
2021-02-15,11:00:00,4909
2021-02-16,12:00:00,4421
2021-02-17,11:00:00,28
2021-02-18,11:00:00,10040
2021-02-19,11:00:00,10852
2021-02-20,11:00:00,10508
2021-02-21,10:00:00,5661
2021-02-22,12:00:00,3813
2021-02-23,10:00:00,6546
2021-02-24,11:00:00,3948
2021-02-25,11:00:00,4763
2021-02-26,10:00:00,6849
2021-02-27,10:00:00,90
2021-02-28,11:00:00,8490
2021-03-01,12:00:00,9186
2021-03-02,11:00:00,5691
2021-03-03,12:00:00,9602
2021-03-04,10:00:00,7910
2021-03-05,10:00:00,6737
2021-03-06,11:00:00,10502
2021-03-07,10:00:00,10573
2021-03-08,10:00:00,11465
2021-03-09,10:00:00,9748
2021-03-10,10:00:00,10611
2021-03-11,11:00:00,9617
2021-03-12,11:00:00,10268
2021-03-13,10:00:00,85
2021-03-14,10:00:00,9857
2021-03-15,10:00:00,6766
2021-03-16,11:00:00,2924
2021-03-17,11:00:00,4139
2021-03-18,10:00:00,11196
2021-03-19,11:00:00,11273
2021-03-20,16:00:00,1043
2021-03-21,10:00:00,9077
2021-03-22,10:00:00,4330
2021-03-23,13:00:00,60
2021-03-24,10:00:00,7780
2021-03-25,13:00:00,2986
2021-03-26,11:00:00,6187
2021-03-27,12:00:00,6399
2021-03-28,11:00:00,10784
2021-03-29,10:00:00,10767
2021-03-30,11:00:00,8849
2021-03-31,11:00:00,10926
2021-04-01,14:00:00,85
2021-04-02,11:00:00,11432
2021-04-03,11:00:00,10520
2021-04-04,10:00:00,5072
2021-04-05,11:00:00,6701
2021-04-06,11:00:00,9986
2021-04-07,11:00:00,10324
2021-04-08,11:00:00,10671
2021-04-09,11:00:00,11427
2021-04-10,11:00:00,11403
2021-04-11,10:00:00,10749
2021-04-12,11:00:00,11277
2021-04-13,11:00:00,11424
2021-04-14,18:00:00,90
2021-04-15,11:00:00,11448
2021-04-16,12:00:00,110
2021-04-17,10:00:00,6911
2021-04-18,10:00:00,8955
2021-04-19,11:00:00,10293
2021-04-20,11:00:00,11221
2021-04-21,11:00:00,11443
2021-04-22,11:00:00,11476
2021-04-23,10:00:00,9073
2021-04-24,11:00:00,9699
2021-04-25,10:00:00,8145
2021-04-26,10:00:00,8043
2021-04-27,11:00:00,3884
2021-04-28,11:00:00,7130
2021-04-29,11:00:00,9186
2021-04-30,11:00:00,9372
2021-05-01,11:00:00,8129
2021-05-02,11:00:00,9275
2021-05-03,12:00:00,7590
2021-05-04,10:00:00,9381
2021-05-05,11:00:00,9388
2021-05-06,10:00:00,7785
2021-05-07,10:00:00,10871
2021-05-08,10:00:00,10886
2021-05-09,10:00:00,10577
2021-05-10,10:00:00,10842
2021-05-11,11:00:00,11226
2021-05-12,10:00:00,11068
2021-05-13,11:00:00,10213
2021-05-14,11:00:00,10834
2021-05-15,10:00:00,5446
2021-05-16,11:00:00,7366
2021-05-17,10:00:00,10185
2021-05-18,10:00:00,10059
2021-05-19,10:00:00,10542
2021-05-20,10:00:00,7694
2021-05-21,10:00:00,7797
2021-05-22,11:00:00,6107
2021-05-23,11:00:00,6473
2021-05-24,12:00:00,8010
2021-05-25,11:00:00,10090
2021-05-26,10:00:00,7019
2021-05-27,10:00:00,8413
2021-05-28,10:00:00,10669
2021-05-29,11:00:00,11166
2021-05-30,10:00:00,10650
2021-05-31,11:00:00,170
2021-06-01,10:00:00,10664
2021-06-02,10:00:00,11109
2021-06-03,11:00:00,10973
2021-06-04,11:00:00,10892
2021-06-05,11:00:00,10609
2021-06-06,11:00:00,10548
2021-06-07,10:00:00,10205
2021-06-08,13:00:00,60
2021-06-09,10:00:00,9212
2021-06-10,10:00:00,10680
2021-06-11,10:00:00,10745
2021-06-12,10:00:00,8654
2021-06-13,10:00:00,9085
2021-06-14,09:00:00,7019
2021-06-15,11:00:00,100
2021-06-16,10:00:00,9389
2021-06-17,12:00:00,7429
2021-06-18,10:00:00,9587
2021-06-19,11:00:00,10168
2021-06-20,11:00:00,8868
2021-06-21,10:00:00,10392
2021-06-22,11:00:00,10677
2021-06-23,10:00:00,9891
2021-06-24,11:00:00,9984
2021-06-25,10:00:00,11086
2021-06-26,11:00:00,11344
2021-06-27,11:00:00,11041
2021-06-28,11:00:00,10384
2021-06-29,10:00:00,9833
2021-06-30,10:00:00,10431
2021-07-01,11:00:00,10955
2021-07-02,11:00:00,10892
2021-07-03,11:00:00,10721
2021-07-04,11:00:00,10648
2021-07-05,11:00:00,10558
2021-07-06,11:00:00,10350
2021-07-07,11:00:00,10461
2021-07-08,11:00:00,10056
2021-07-09,11:00:00,10187
2021-07-10,10:00:00,10156
2021-07-11,11:00:00,10765
2021-07-12,11:00:00,10647
2021-07-13,11:00:00,9375
2021-07-14,11:00:00,10437
2021-07-15,11:00:00,10451
2021-07-16,11:00:00,10341
2021-07-17,11:00:00,10381
2021-07-18,11:00:00,10278
2021-07-19,11:00:00,10855
2021-07-20,11:00:00,10345
2021-07-21,11:00:00,10315
2021-07-22,10:00:00,320
2021-07-23,10:00:00,10013
2021-07-24,11:00:00,9829
2021-07-25,10:00:00,9400
2021-07-26,10:00:00,9537
2021-07-27,11:00:00,10525
2021-07-28,10:00:00,10467
2021-07-29,10:00:00,10689
2021-07-30,11:00:00,9886
2021-07-31,11:00:00,9386
2021-08-01,10:00:00,8575
2021-08-02,11:00:00,9398
2021-08-03,10:00:00,9797
2021-08-04,10:00:00,9675
2021-08-05,11:00:00,10610
2021-08-06,11:00:00,10575
2021-08-07,10:00:00,10229
2021-08-08,11:00:00,9462
2021-08-09,10:00:00,9660
2021-08-10,10:00:00,7709
2021-08-11,11:00:00,9167
2021-08-12,10:00:00,9519
2021-08-13,11:00:00,10483
2021-08-14,10:00:00,9112
2021-08-15,10:00:00,7586
2021-08-16,13:00:00,6587
2021-08-17,11:00:00,10442
2021-08-18,14:00:00,90
2021-08-19,11:00:00,8380
2021-08-20,10:00:00,10405
2021-08-21,11:00:00,9714
2021-08-22,11:00:00,10581
2021-08-23,10:00:00,9258
2021-08-24,11:00:00,8294
2021-08-25,11:00:00,9064
2021-08-26,10:00:00,10011
2021-08-27,10:00:00,10462
2021-08-28,12:00:00,90
2021-08-29,11:00:00,10713
2021-08-30,10:00:00,10752
2021-08-31,10:00:00,10491
2021-09-01,10:00:00,9704
2021-09-02,10:00:00,10146
2021-09-03,10:00:00,8908
2021-09-04,10:00:00,8563
2021-09-05,10:00:00,8784
2021-09-06,10:00:00,10086
2021-09-07,12:00:00,8795
2021-09-08,11:00:00,9888
2021-09-09,11:00:00,6988
2021-09-10,11:00:00,9042
2021-09-11,10:00:00,8876
2021-09-12,10:00:00,10241
2021-09-13,08:00:00,6688
2021-09-14,12:00:00,7574
2021-09-15,10:00:00,9328
2021-09-16,10:00:00,7828
