时间,连续3小时累计发电量,开始时间,结束时间
2021-01-01,60.0,12:00:00,14:00:00
2021-01-02,77.0,13:00:00,15:00:00
2021-01-03,31.0,10:00:00,12:00:00
2021-01-04,20978.0,10:00:00,12:00:00
2021-01-05,32.0,15:00:00,17:00:00
2021-01-06,43.0,12:00:00,14:00:00
2021-01-07,18088.0,10:00:00,12:00:00
2021-01-08,17401.0,10:00:00,12:00:00
2021-01-09,16314.0,10:00:00,12:00:00
2021-01-10,15591.0,10:00:00,12:00:00
2021-01-11,14602.0,10:00:00,12:00:00
2021-01-12,27323.0,10:00:00,12:00:00
2021-01-13,24689.0,10:00:00,12:00:00
2021-01-14,18181.0,09:00:00,11:00:00
2021-01-15,18485.0,10:00:00,12:00:00
2021-01-16,15672.0,09:00:00,11:00:00
2021-01-17,151.0,12:00:00,14:00:00
2021-01-18,15453.0,10:00:00,12:00:00
2021-01-19,18067.0,09:00:00,11:00:00
2021-01-20,8337.0,10:00:00,12:00:00
2021-01-21,9569.0,10:00:00,12:00:00
2021-01-22,8085.0,10:00:00,12:00:00
2021-01-23,13062.0,10:00:00,12:00:00
2021-01-24,19989.0,10:00:00,12:00:00
2021-01-25,18015.0,10:00:00,12:00:00
2021-01-26,22617.0,10:00:00,12:00:00
2021-01-27,19409.0,09:00:00,11:00:00
2021-01-28,23843.0,10:00:00,12:00:00
2021-01-29,14528.0,09:00:00,11:00:00
2021-01-30,10431.0,11:00:00,13:00:00
2021-01-31,19532.0,10:00:00,12:00:00
2021-02-01,17375.0,11:00:00,13:00:00
2021-02-02,24811.0,10:00:00,12:00:00
2021-02-03,13671.0,09:00:00,11:00:00
2021-02-04,143.0,06:00:00,08:00:00
2021-02-05,6671.0,09:00:00,11:00:00
2021-02-06,85.0,11:00:00,13:00:00
2021-02-07,13620.0,10:00:00,12:00:00
2021-02-08,23149.0,09:00:00,11:00:00
2021-02-09,28642.0,10:00:00,12:00:00
2021-02-10,28951.0,10:00:00,12:00:00
2021-02-11,68.0,10:00:00,12:00:00
2021-02-12,25037.0,10:00:00,12:00:00
2021-02-13,21374.0,10:00:00,12:00:00
2021-02-14,0.0,00:00:00,02:00:00
2021-02-15,14001.0,09:00:00,11:00:00
2021-02-16,12511.0,10:00:00,12:00:00
2021-02-17,81.0,10:00:00,12:00:00
2021-02-18,29167.0,10:00:00,12:00:00
2021-02-19,31753.0,10:00:00,12:00:00
2021-02-20,30565.0,10:00:00,12:00:00
2021-02-21,15818.0,09:00:00,11:00:00
2021-02-22,10749.0,11:00:00,13:00:00
2021-02-23,18292.0,10:00:00,12:00:00
2021-02-24,11404.0,10:00:00,12:00:00
2021-02-25,13156.0,10:00:00,12:00:00
2021-02-26,19762.0,10:00:00,12:00:00
