来源,工单编号,工单状态,接单时间,派单时间,维修时间,修复时间,现场分类,电网分类
电话,1024,已核实,2021/12/27 23:16,2021/12/27 23:16,2021/12/27 23:26,2021/12/27 23:53,郊区,比利时电网
电话,1025,已核实,2021/12/27 23:10,2021/12/27 23:12,2021/12/27 23:34,2021/12/27 23:51,城市,比利时电网
电话,1026,未核实,2021/12/27 22:58,2021/12/27 22:59,2021/12/27 23:14,2021/12/27 23:32,城市,荷兰电网
网络,1027,已核实,2021/12/27 22:56,2021/12/27 22:58,2021/12/27 23:09,2021/12/27 23:11,城市,法国电网
网络,1028,已核实,2021/12/27 22:49,2021/12/27 22:51,2021/12/27 23:02,2021/12/27 23:09,城市,法国电网
电话,1029,已核实,2021/12/27 22:48,2021/12/27 22:48,2021/12/27 22:53,2021/12/27 23:41,城市,荷兰电网
网络,1030,已核实,2021/12/27 22:46,2021/12/27 22:48,2021/12/27 22:52,2021/12/27 23:07,城市,法国电网
电话,1031,已核实,2021/12/27 22:42,2021/12/27 22:43,2021/12/27 22:45,2021/12/27 23:34,郊区,德国电网
电话,1032,已核实,2021/12/27 22:41,2021/12/27 22:42,2021/12/27 23:06,2021/12/27 23:12,城市,荷兰电网
电话,1033,已核实,2021/12/27 22:41,2021/12/27 22:41,2021/12/27 22:52,2021/12/27 23:10,郊区,法国电网
网络,1034,已核实,2021/12/27 22:38,2021/12/27 22:40,2021/12/27 22:59,2021/12/27 23:30,城市,法国电网
电话,1035,已核实,2021/12/27 22:36,2021/12/27 22:36,2021/12/27 22:39,2021/12/27 22:42,郊区,西班牙电网
电话,1036,已核实,2021/12/27 22:34,2021/12/27 22:34,2021/12/27 22:47,2021/12/27 23:16,城市,比利时电网
电话,1037,已核实,2021/12/27 22:30,2021/12/27 22:30,2021/12/27 22:42,2021/12/27 22:54,郊区,比利时电网
电话,1038,已核实,2021/12/27 22:26,2021/12/27 22:45,2021/12/27 22:51,2021/12/27 23:16,郊区,荷兰电网
网络,1039,已核实,2021/12/27 22:22,2021/12/27 22:24,2021/12/27 22:32,2021/12/27 23:20,城市,法国电网
电话,1040,已核实,2021/12/27 22:20,2021/12/27 22:21,2021/12/27 22:27,2021/12/28 0:30,郊区,比利时电网
电话,1041,已核实,2021/12/27 22:14,2021/12/27 22:15,2021/12/27 22:21,2021/12/27 23:01,郊区,比利时电网
