positionName,companyShortName,city,companySize,education,financeStage,industryField,salary,workYear,job_detail
高级数据分析师,拉勾网,北京,500-2000人,本科,D轮及以上,企业服务,25k-35k,5-10年,"
1.搭建数据指标框架，完整并准确反映业务趋势和变化，及时发现和定位问题
2.独立完成数据分析项目，包括但不限于产品功能复盘，运营策略效果分析
3.开发自动化报表和邮件，提升数据产品化水平
4.将数据需求转化为埋点方案，协助研发采集数据，确保数据上报准确和完整
5.完成临时性数据查询的需求

岗位要求：
1.?3年以上互联网数据分析经验
2.面向消费者、面向用户的分析经验；内容、社区领域的分析经验更优
3.大数据平台上分析经验，熟悉数据库及SQL、Python
4.熟悉系统性的分析方法论
5.具备一定的抗压能力、沟通能力
"
数据分析师,OK Group,北京,500-2000人,大专,B轮,金融,25k-45k,5-10年,"
工作职责：
1. 负责建立交易平台日常分析体系，包括核心指标体系、报表体系，专题活动分析等
2. 与产品、技术的同事沟通协作，负责数据需求落地，推动评估模型在具体业务层面和风控系统中的落地使用
3. 能够独立撰写分析报告，支撑业务部分做进一步决策
4. 通过探索性的数据分析，从数据中挖掘出用户的搜索行为习惯，为提升用户搜索体验提供建议和指导
任职资格：
1.数据挖掘、统计学、信息与计算科学、数学等相关专业本科以上学历，有互联网/金融相关的数据分析工作经验优先
2.精通SQL，具备基本的编程能力
3.具有一定的数据挖掘、数据建模能力，能够熟练使用统计工具软件者优先
4.具有从海量数据中，提取有效信息，进行聚合，分析道可视化的整套实践经历
5.具有较强的学习能力，良好的逻辑分析能力与沟通能力
"
高级数据分析师,金山办公软件,北京,2000人以上,本科,上市公司,移动互联网,15k-25k,3-5年,"
职位描述：1.对亿计的办公用户数据进行深度挖掘，引导产品、运营，并能实际应用到业务中带来实际商业价值;2.提供完整数据分析解决方案，以数据引导产品运营策略，以数据驱动增长。3.建立和完善产品增长相关的数据探索工具，提升业务效率。任职资格：1.?熟练掌握Hive/SQL,精通excle,熟练Python/R等?善于将统计学及数学方法应用于业务2.逻辑能力出众，分析解决问题的专家，有建立互联网商业数据模型的能力及丰富经验。3.具有良好的商业敏感度和优秀的数据分析技能，能独立完成从数据提取到模型构建，部门沟通到输出商业分析报告，解决复杂的商业问题。4.产品运营知识丰富，有参与深度商业产品分析并有效指导产品运营的具体案例5.敏锐且追求**，与专业前沿同步。
"
数据分析师,金山办公软件,北京,2000人以上,本科,上市公司,移动互联网,15k-25k,1-3年,"
工作职责：-负责日常运营、业务数据等分析-针对产品需求做深入的数据分析报告，分析用户行为特征，为产品优化提供策略建议-通过对数据的深度分析，规划、开发运营分析指标体系，为运营决策等方面提供数据支持和参考?职位要求：-两年以上相关行业工作经验?-统计学、数学、计算机等相关专业本科以上学历?-具有优秀的数据分析能力，能快速理解业务，并设计相应的数据模型?-熟练使用office办公软件，至少熟悉一种数据分析软件（sas、R、clementine），独立完成数据分析报告?- 有用户行为分析、用户运营、产品分析等分析经验的优先?-熟练掌握SQL，熟悉常用数据统计和分析方法?-有数据挖掘和建模经验的优先?
"
数据分析师,京东集团,北京,2000人以上,本科,上市公司,电商,15k-30k,3-5年,"
【数据分析师岗】
岗位要求：
1、构建及维护客户体验相关数据报表平台；
2、与大数据部门对接优化底层数据架构和提数模型；
3、日常业务运营月报、周报、日报、各类运营报表及定期经分报告输出及分析；
4、根据业务数据分析，提供数据分析结果及业务运营部门改进建议；
5、依据大数据挖掘客户行为及需求为流程优化及业务决策提供数据支持；??????????????
?
任职资格：
1、2年以上相关工作经验，本科及以上学历；
2、有较强的数据整理分析能力，报表展示能力；逻辑性强，沟通能力强；
3、学习能力强，能够主动了解外部的建议和意见，并善于分析；
4、有负责业务相关大数据管理能力，精通使用excel、access、SQL、SPSS、Tableau等数据分析工具；
5、抗压力强，对工作热情，责任心强，有上进心，工作效率高，具有团队合作精神；????????????????????????????????????????????????????????
?
?
"
数据分析师,鲸鱼外教培优,北京,500-2000人,本科,B轮,教育,15k-30k,3-5年,"
        1.负责业务数据分析工作，基于业务场景，建立核心业务数据模型及预警体系；
2.深度理解业务，持续跟踪业务数据，监测业务发展态势，分析挖掘数据价值，从数据结论中找到业务痛点，提出解决方案，驱动业务优化提升；
3.参与数据体系建设工作，包含但不限于数据埋点流程设计、数据产品内容建设等；
职位要求：
1.本科及以上学历，有3年及以上互联网数据工作经验，在线教育行业经验优先；
2.对数据敏感，有自主挖掘及系统思考能力，逻辑严谨，自驱力强；
3.具备良好的跨团队协作能力，团队意识强，有责任感，抗压能力强。
        "
数据分析,北银消费,北京,150-500人,本科,不需要融资,金融,15k-20k,1-3年,"
        职责描述：
1、对公司业务数据进行分析，提出有效合理的风控建议；
2、按渠道、产品定期测算风险成本；
3、提供月度例会、全面风险评价报告等部门内部报告数据；出具公司经营管理相关数据或报告；
4、多维度对公司内部业务Vintage表现进行分析，并形成分析报告，对公司风险管理提出相应的建议；
5、监控业务风险指标变化，包括逾期率、不良率、Vintage表现等，通过监控对风险问题及时预警并形成分析报告；
6、报表的系统开发与测试工作；
7、数据平台搭建工作；
8、部门的其他工作。
任职要求：
1、统招本科以上学历，统计学、数学、金融工程相关专业；
2、从事金融工作1年以上，或从事相关经济工作1年以上；
3、要求具备一定的金融、经济专业基础知识；掌握统计及分析技巧，熟悉信贷等各类金融业务操作；
4、掌握PoewrPoint、熟练运用Word和Excel等办公软件进行公文处理操作；熟练应用SAS、R等统计软件；具有良好的数据统计、分析能力；
5、无违法违规行为及犯罪记录，道德品质良好。
        "
数据分析师,时趣social-touch,北京,500-2000人,本科,D轮及以上,移动互联网,15k-20k,3-5年,"
        岗位描述：
品牌舆情，社交分析，服务过品牌客户，发布周期性评估报告（美妆，个护，母婴，汽车，食品，保健品等大牌）
1.能够基于业务需求进行数据分析，形成业务数据洞察报告，从消费者行为与态度、产品及运营决策、精准营销等角度提供商业分析咨询报告。
2.利用数据分析手段，在海量数据中挖掘有价值的业务特征，在日常数据支持过程中结合业务需求对大数据系统进行优化，并给出有效的优化改进建议；
3.深入研究客户需求，结合标准化产品业务，进行相关行业的数据监测及分析；
4.深入洞察各行业发展态势，搭建行业分析模型，为业务部门提供数据策略支持。
任职要求：
1.统计学、数学、社会学、心理学、新闻学等相关专业本科或以上学历；
2.3年以上咨询、行业研究、数据分析等相关经验或从业背景；
3.对数据与业务有足够敏感性，逻辑思维缜密，撰写数据报告能力强；
4.具有良好的团队协调能力和团队合作精神，有一定抗压能力；
5.具备数据深层次挖掘的能力，善于发现数据的变化规律；
6.熟悉SQL/excel等数据分析和统计分析工具；
7.具有市场研究或一线互联网企业、咨询公司、市场研究公司数据分析或行业研究经验优先。
        "
数据分析师,e城e家,北京,2000人以上,本科,不需要融资,"移动互联网,消费生活",15k-25k,3-5年,"
        技能要求：
数据分析，SQL，数据挖掘，需求分析，商业数据分析，SPSS
职位职责：
1、作为业务线BP提供日常数据分析，包含用户需求挖掘、运营路径拆解、异常归因迭代等专题分析；
2、推动业务团队合理设置周期业绩指标，对业绩执行情况监控； 
3、搭建数据分析体系，重点指标观测体系，设计相应业务分析框架； 
4、根据业务需求分析挖掘数据，应用数据分析方法输出策略和数据解决方案。 
职位要求： 
1、统计、数学、经济学、管理学、计算机等专业本科及以上学历，有互联网相关数据分析工作经历； 
2、熟练掌握SQL，excel，熟悉常用数据统计和分析方法； 
3、熟练使用SPSS，R，Python中的任一数据分析工具； 
4、结构化思维，对数据敏感，自我驱动强，能通过数据主动发现问题并解决问题。
        "
数据分析专员,钛氪新媒体科技,北京,50-150人,本科,未融资,移动互联网,8k-16k,1-3年,"
        职位职责：
1、负责iNews新闻大数据产品数据分析，提出数据问题、分析数据内容、得到问题结论和解决途径。
2、配合数据采集团队进行网站、APP、微信、微博等渠道的数据采集、入库、质量跟踪、检测确认工作。
3、协助完成产品、运营、研发的数据需求，负责数据源后台管理系统的日常管理工作。
4、对iNews产品的数据结果负责。

任职要求：
1、2年及以上数据分析工作经验。
2、本科及以上学历。
3、熟练掌握常用BI软件、Excel等数据分析工具。
4、能较为熟练使用SQL查询语句，有一定Python或R语言应用经验。
5、有一定的数据挖掘算法使用经验者优先。
6、乐观积极心态，有很好的团队融入和主动配合能力，能承受较大量细微数据处理工作压力。
7、具有良好的沟通表达能力，逻辑思维能力。
8、数学与计算机相关专业优先。
        "
数据分析专家,伊澳科技,北京,2000人以上,本科,上市公司,"移动互联网,电商",35k-55k,5-10年,"
        职位描述
1.基于对业务深入理解的基础上，搭建业务分析模型，为业务提供数据决策和数据支持
2.负责业务数据系统规划建设，构建业务数据模型
3.深入了解业务发展需求，统筹规划业务团队的日常数据监控及分析，灵活支持产品以及业务模块的数据分析命题
4.针对异常数据进行预警、解读和挖掘，并提出解决方案

任职资格
1.大学本科学历，具有数据分析和建模相关理论知识
2.6年以上数据分析工作经验，具有数据提取，经营分析，数据体系构建，策略方面的成功实践和经验
3.能够有效沟通，与业务和产品团队有效配合，推动相关工作落地，有管理经验优先
4.能够主动学习，分析业界最新动态和技术，并应用到数据分析工作中
        "
数据分析师,数数科技,北京,15-50人,本科,A轮,"游戏,数据服务",10k-20k,1-3年,"
        职位描述：

1. 负责数据后台的实施落地，引导客户了解产品使用方法，传递数据驱动价值；

2. 深入理解客户产品的业务场景，发掘客户的数据远景，以此为目标制定客户的长期使用方案；

3. 对客户的使用数据进行分析，获知客户使用状态及生命周期，对不同状态的客户提供相应的支持；

4. 收集客户的成功案例以及产品最佳实践，协助构建产品使用知识库；

5. 完成日常维护工作，包括后台使用咨询、问题解答、培训提升等支持类服务；

6. 收集客户反馈，协助推进产品优化迭代。

岗位要求：

1. 具备良好的沟通能力、抗压能力以及文档编写能力；

2. 拥有数据收集、数据分析经验以及良好的数据分析意识；

3. 具备企业级数据服务经验者优先、有大数据相关技术基础者优先；

4. 有一年（含）以上相关经验，数学、计算机或相关专业本科学历。
        "
数据分析师,省钱快报,北京,150-500人,本科,C轮,"移动互联网,电商",20k-40k,3-5年,"
        职位描述：
1、负责搜索和推荐业务的数据分析工作；
2、基于内外部的数据剖析问题、发现机会，并提出有落地可能性的商业策略建议或解决方案；
3、负责业务相关各类A/B实验设计与分析，产品优化效果评估，核心指标异动分析，客户端版本评估等工作；
4、与数据工程、产品技术团队配合、孵化算法、产品类项目，并参与项目的共同推进；

岗位要求：
1、统计、数学、计算机相关专业，本科及以上学历，至少2年数据分析工作经验；
2、熟悉数据库基本原理和结构，能熟练运用 SQL和python，独立且高效地完成数据的提取及分析； 
3、有丰富的数据清洗、分析、挖掘的经验，并熟悉常用的数据挖掘方法论； 
4、良好的数据敏感度，能从海量数据提炼核心结果，并用简洁而清晰的方式呈现数据分析背后的商业逻辑和相关洞建；有出色的结构化思维能力；
5、较强的抗压能力，能在迅速变化的商业环境和动态的业务需求中，抓住重点并交出有质量的产出。
        "
数据分析,省钱快报,北京,150-500人,本科,C轮,"移动互联网,电商",20k-40k,3-5年,"
        职位描述： 
1、负责搜索和推荐业务的数据分析工作 
2、基于内外部的数据剖析问题、发现机会，并提出有落地可能性的商业策略建议或解决方案； 
3、负责业务相关各类A/B实验设计与分析，产品优化效果评估，核心指标异动分析，客户端版本评估等工作； 
4、与数据工程、产品技术团队配合、孵化算法、产品类项目，并参与项目的共同推进。 

岗位要求： 
1、统计、数学、计算机相关专业，本科及以上学历，至少2年数据分析工作经验； 
2、熟悉数据库基本原理和结构，能熟练运用 SQL和python，独立且高效地完成数据的提取及分析； 
3、有丰富的数据清洗、分析、挖掘的经验，并熟悉常用的数据挖掘方法论； 
4、良好的数据敏感度，能从海量数据提炼核心结果，并用简洁而清晰的方式呈现数据分析背后的商业逻辑和相关洞建；有出色的结构化思维能力； 
5、较强的抗压能力，能在迅速变化的商业环境和动态的业务需求中，抓住重点并交出有质量的产出；

"
