positionName,companyShortName,city,companySize,education,financeStage,industryField,salary,平均薪资,workYear
高级数据分析师,拉勾网,北京,500-2000人,本科,D轮及以上,企业服务,25k-35k,30.0,5-10年
数据分析师,OK Group,北京,500-2000人,大专,B轮,金融,25k-45k,35.0,5-10年
高级数据分析师,金山办公软件,北京,2000人以上,本科,上市公司,移动互联网,15k-25k,20.0,3-5年
数据分析师,金山办公软件,北京,2000人以上,本科,上市公司,移动互联网,15k-25k,20.0,1-3年
数据分析师,京东集团,北京,2000人以上,本科,上市公司,电商,15k-30k,22.5,3-5年
数据分析师,鲸鱼外教培优,北京,500-2000人,本科,B轮,教育,15k-30k,22.5,3-5年
数据分析,北银消费,北京,150-500人,本科,不需要融资,金融,15k-20k,17.5,1-3年
数据分析师,时趣social-touch,北京,500-2000人,本科,D轮及以上,移动互联网,15k-20k,17.5,3-5年
数据分析师,e城e家,北京,2000人以上,本科,不需要融资,"移动互联网,消费生活",15k-25k,20.0,3-5年
数据分析专员,钛氪新媒体科技,北京,50-150人,本科,未融资,移动互联网,8k-16k,12.0,1-3年
数据分析专家,伊澳科技,北京,2000人以上,本科,上市公司,"移动互联网,电商",35k-55k,45.0,5-10年
数据分析师,数数科技,北京,15-50人,本科,A轮,"游戏,数据服务",10k-20k,15.0,1-3年
数据分析师,省钱快报,北京,150-500人,本科,C轮,"移动互联网,电商",20k-40k,30.0,3-5年
数据分析,省钱快报,北京,150-500人,本科,C轮,"移动互联网,电商",20k-40k,30.0,3-5年
数据分析师,蛋壳公寓,北京,2000人以上,本科,上市公司,消费生活,20k-25k,22.5,3-5年
数据分析师,时趣social-touch,北京,500-2000人,本科,D轮及以上,移动互联网,15k-20k,17.5,3-5年
数据分析专员,钛氪新媒体科技,北京,50-150人,本科,未融资,移动互联网,8k-16k,12.0,1-3年
数据分析师,小帮规划,北京,500-2000人,本科,B轮,"移动互联网,金融",25k-45k,35.0,3-5年
数据分析师,美图公司,北京,2000人以上,本科,上市公司,硬件,25k-45k,35.0,3-5年
数据分析师,e城e家,北京,2000人以上,本科,不需要融资,"移动互联网,消费生活",15k-25k,20.0,3-5年
数据分析专员,钛氪新媒体科技,北京,50-150人,本科,未融资,移动互联网,8k-16k,12.0,1-3年
数据分析师,魔力耳朵,北京,500-2000人,本科,B轮,教育,8k-15k,11.5,1-3年
